season_end_year,fbref_player_id,fbref_squad,player,minutes,file,column,value,kaggle_column
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_defense,Clr,0.0,Clearances
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_defense,Err,1.0,Errors made
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_defense,Pass_Blocks,0.0,Passes blocked
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_defense,Sh_Blocks,0.0,Shots blocked
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_defense,Tkl_Tackles,0.0,Tackles attempted
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_misc,Won_percent_Aerial,100.0,% Aerial Duels won
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_possession,Att_Take,0.0,Take ons attempted
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_possession,CPA_Carries,0.0,carries penalty area
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_possession,Def Pen_Touches,136.0,touches_def_pen
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_possession,Dis_Carries,0.0,Possessions lost
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_possession,Final_Third_Carries,0.0,carries final 3rd
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_possession,PrgC_Carries,0.0,carries_prgc
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_possession,Succ_percent_Take,0.0,% Successful take-ons
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_shooting,G_per_Sh_Standard,0.0,Goals per shot
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_shooting,G_per_SoT_Standard,0.0,Goals per shot on target
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_shooting,SoT_percent_Standard,0.0,% Shots on target
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_shooting,npxG_Expected,0.0,Exp NPG
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_shooting,xG_Expected,0.0,Expected Goals
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_standard,PrgC_Progression,0.0,Progressive Carries
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_standard,PrgP_Progression,0.0,Progressive Passes
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_standard,npxG_Expected,0.0,Exp NPG
2023,f5dfc256,Lille,Leonardo César Jardim,540,big5_player_standard,xG_Expected,0.0,Expected Goals
2023,461d1848,Mallorca,이강인,2823,big5_player_defense,Clr,7.0,Clearances
2023,461d1848,Mallorca,이강인,2823,big5_player_defense,Err,0.0,Errors made
2023,461d1848,Mallorca,이강인,2823,big5_player_defense,Pass_Blocks,23.0,Passes blocked
2023,461d1848,Mallorca,이강인,2823,big5_player_defense,Sh_Blocks,2.0,Shots blocked
2023,461d1848,Mallorca,이강인,2823,big5_player_defense,Tkl_Tackles,42.0,Tackles attempted
2023,461d1848,Mallorca,이강인,2823,big5_player_misc,Won_percent_Aerial,28.8,% Aerial Duels won
2023,461d1848,Mallorca,이강인,2823,big5_player_possession,Att_Take,134.0,Take ons attempted
2023,461d1848,Mallorca,이강인,2823,big5_player_possession,CPA_Carries,14.0,carries penalty area
2023,461d1848,Mallorca,이강인,2823,big5_player_possession,Def Pen_Touches,15.0,touches_def_pen
2023,461d1848,Mallorca,이강인,2823,big5_player_possession,Dis_Carries,43.0,Possessions lost
2023,461d1848,Mallorca,이강인,2823,big5_player_possession,Final_Third_Carries,58.0,carries final 3rd
2023,461d1848,Mallorca,이강인,2823,big5_player_possession,PrgC_Carries,107.0,carries_prgc
2023,461d1848,Mallorca,이강인,2823,big5_player_possession,Succ_percent_Take,67.2,% Successful take-ons
2023,461d1848,Mallorca,이강인,2823,big5_player_shooting,npxG_Expected,5.4,Exp NPG
2023,461d1848,Mallorca,이강인,2823,big5_player_shooting,xG_Expected,5.4,Expected Goals
2023,461d1848,Mallorca,이강인,2823,big5_player_standard,PrgC_Progression,107.0,Progressive Carries
2023,461d1848,Mallorca,이강인,2823,big5_player_standard,PrgP_Progression,96.0,Progressive Passes
2023,461d1848,Mallorca,이강인,2823,big5_player_standard,npxG_Expected,5.4,Exp NPG
2023,461d1848,Mallorca,이강인,2823,big5_player_standard,xG_Expected,5.4,Expected Goals
2023,75e60d75,Sampdoria,Ronaldo Vieira,815,big5_player_defense,Clr,10.0,Clearances
2023,75e60d75,Sampdoria,Ronaldo Vieira,815,big5_player_defense,Err,2.0,Errors made
2023,75e60d75,Sampdoria,Ronaldo Vieira,815,big5_player_defense,Pass_Blocks,10.0,Passes blocked
2023,75e60d75,Sampdoria,Ronaldo Vieira,815,big5_player_defense,Sh_Blocks,5.0,Shots blocked
2023,75e60d75,Sampdoria,Ronaldo Vieira,815,big5_player_defense,Tkl_Tackles,18.0,Tackles attempted
2023,75e60d75,Sampdoria,Ronaldo Vieira,815,big5_player_misc,Won_percent_Aerial,42.1,% Aerial Duels won
2023,75e60d75,Sampdoria,Ronaldo Vieira,815,big5_player_possession,Att_Take,3.0,Take ons attempted
2023,75e60d75,Sampdoria,Ronaldo Vieira,815,big5_player_possession,CPA_Carries,1.0,carries penalty area
2023,75e60d75,Sampdoria,Ronaldo Vieira,815,big5_player_possession,Def Pen_Touches,34.0,touches_def_pen
2023,75e60d75,Sampdoria,Ronaldo Vieira,815,big5_player_possession,Dis_Carries,6.0,Possessions lost
2023,75e60d75,Sampdoria,Ronaldo Vieira,815,big5_player_possession,Final_Third_Carries,3.0,carries final 3rd
